                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.23528,                0.16374,                0.77104,                0.99958,                      1,                  0.995,                0.98708,                0.21854,                 0.1374,                0.77014,             2.5418e-05,             2.5418e-05,             2.5418e-05
                     67,                0.23283,                0.16164,                0.76947,                0.99958,                      1,                  0.995,                0.98742,                0.21774,                0.13654,                0.77007,             2.3055e-05,             2.3055e-05,             2.3055e-05
                     68,                0.23022,                 0.1596,                0.77049,                0.99958,                      1,                  0.995,                0.98758,                0.21745,                0.13633,                0.77004,             2.0692e-05,             2.0692e-05,             2.0692e-05
                     69,                 0.2286,                0.15768,                0.77005,                0.99957,                      1,                  0.995,                 0.9876,                0.21693,                0.13591,                0.76998,              1.833e-05,              1.833e-05,              1.833e-05
                     70,                0.22787,                0.15739,                0.76907,                0.99956,                      1,                  0.995,                0.98801,                0.21638,                0.13502,                0.76991,             1.5967e-05,             1.5967e-05,             1.5967e-05
                     71,                0.22673,                0.15574,                0.76982,                0.99958,                      1,                  0.995,                 0.9876,                0.21606,                0.13468,                0.76984,             1.3604e-05,             1.3604e-05,             1.3604e-05
                     72,                0.22517,                0.15498,                0.76957,                0.99958,                      1,                  0.995,                0.98746,                0.21612,                 0.1347,                0.76982,             1.1241e-05,             1.1241e-05,             1.1241e-05
                     73,                0.22573,                0.15515,                0.77076,                0.99958,                      1,                  0.995,                0.98783,                0.21604,                0.13427,                0.76981,             8.8784e-06,             8.8784e-06,             8.8784e-06
                     74,                0.22441,                0.15455,                0.76969,                0.99959,                      1,                  0.995,                0.98777,                0.21602,                0.13404,                0.76977,             6.5156e-06,             6.5156e-06,             6.5156e-06
                     75,                0.22318,                0.15332,                 0.7694,                0.99959,                      1,                  0.995,                0.98778,                0.21587,                0.13381,                0.76974,             4.1528e-06,             4.1528e-06,             4.1528e-06
