                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.31641,                0.25926,                0.79095,                0.99946,                      1,                  0.995,                0.98599,                0.22783,                0.14473,                0.77367,               0.002872,               0.002872,               0.002872
                     74,                0.31796,                0.25931,                0.79145,                0.99947,                0.99996,                  0.995,                0.98554,                0.22799,                0.14457,                0.77366,               0.002773,               0.002773,               0.002773
                     75,                0.31595,                0.25757,                0.78943,                0.99949,                      1,                  0.995,                0.98578,                0.22745,                0.14464,                 0.7735,               0.002674,               0.002674,               0.002674
                     76,                0.31453,                0.25539,                0.79127,                0.99945,                      1,                  0.995,                  0.986,                0.22689,                0.14394,                0.77342,               0.002575,               0.002575,               0.002575
                     77,                0.31139,                0.25334,                0.79041,                0.99945,                      1,                  0.995,                 0.9857,                0.22665,                0.14364,                0.77332,               0.002476,               0.002476,               0.002476
                     78,                0.31093,                0.25304,                0.78947,                0.99947,                      1,                  0.995,                0.98598,                 0.2262,                0.14272,                0.77329,               0.002377,               0.002377,               0.002377
                     79,                0.31124,                0.25173,                0.79001,                0.99948,                      1,                  0.995,                0.98616,                0.22575,                0.14252,                0.77319,               0.002278,               0.002278,               0.002278
                     80,                0.30865,                0.24949,                0.79022,                0.99948,                      1,                  0.995,                0.98649,                0.22504,                0.14189,                0.77316,               0.002179,               0.002179,               0.002179
                     81,                0.30738,                0.24846,                0.78846,                0.99946,                      1,                  0.995,                0.98651,                0.22497,                0.14163,                0.77311,                0.00208,                0.00208,                0.00208
                     82,                0.30658,                0.24875,                 0.7896,                0.99948,                      1,                  0.995,                 0.9868,                0.22434,                 0.1413,                0.77298,               0.001981,               0.001981,               0.001981
                     83,                0.30546,                0.24669,                0.78863,                 0.9995,                      1,                  0.995,                0.98694,                0.22414,                0.14119,                0.77295,               0.001882,               0.001882,               0.001882
                     84,                 0.3043,                0.24468,                0.78935,                0.99948,                      1,                  0.995,                0.98674,                0.22392,                0.14061,                0.77292,               0.001783,               0.001783,               0.001783
                     85,                0.30108,                0.24143,                0.78753,                0.99948,                      1,                  0.995,                0.98677,                0.22371,                0.14073,                0.77285,               0.001684,               0.001684,               0.001684
                     86,                 0.3014,                0.24114,                0.78771,                0.99949,                      1,                  0.995,                0.98689,                0.22388,                 0.1408,                0.77286,               0.001585,               0.001585,               0.001585
                     87,                0.29859,                0.23891,                0.78701,                 0.9995,                      1,                  0.995,                0.98684,                0.22356,                0.14049,                0.77273,               0.001486,               0.001486,               0.001486
                     88,                0.29656,                0.23808,                0.78828,                0.99951,                      1,                  0.995,                0.98676,                0.22338,                 0.1403,                0.77268,               0.001387,               0.001387,               0.001387
                     89,                0.29531,                0.23518,                0.78858,                0.99949,                      1,                  0.995,                 0.9868,                0.22323,                0.13996,                0.77266,               0.001288,               0.001288,               0.001288
                     90,                0.29506,                0.23501,                0.78898,                 0.9995,                      1,                  0.995,                0.98701,                0.22312,                   0.14,                 0.7727,               0.001189,               0.001189,               0.001189
                     91,                0.25809,                0.17707,                0.77674,                 0.9995,                      1,                  0.995,                0.98719,                0.22269,                0.13981,                0.77262,                0.00109,                0.00109,                0.00109
                     92,                0.25628,                0.17625,                0.77679,                 0.9995,                      1,                  0.995,                0.98704,                0.22252,                0.13928,                0.77258,               0.000991,               0.000991,               0.000991
                     93,                0.25379,                0.17294,                0.77492,                0.99951,                      1,                  0.995,                0.98716,                0.22222,                0.13887,                 0.7725,               0.000892,               0.000892,               0.000892
                     94,                0.25207,                0.17303,                0.77674,                 0.9995,                      1,                  0.995,                0.98701,                0.22163,                0.13826,                0.77243,               0.000793,               0.000793,               0.000793
                     95,                0.25008,                0.17171,                0.77376,                0.99951,                      1,                  0.995,                0.98724,                 0.2212,                0.13812,                0.77235,               0.000694,               0.000694,               0.000694
                     96,                0.24776,                 0.1689,                0.77445,                0.99951,                      1,                  0.995,                0.98747,                0.22094,                0.13758,                0.77232,               0.000595,               0.000595,               0.000595
                     97,                0.24654,                0.16773,                0.77266,                0.99951,                      1,                  0.995,                0.98761,                0.22069,                 0.1374,                0.77227,               0.000496,               0.000496,               0.000496
                     98,                0.24508,                0.16613,                0.77469,                0.99952,                      1,                  0.995,                0.98759,                0.22048,                0.13718,                0.77224,               0.000397,               0.000397,               0.000397
                     99,                0.24342,                0.16473,                0.77422,                0.99952,                      1,                  0.995,                0.98765,                0.22023,                0.13686,                0.77217,               0.000298,               0.000298,               0.000298
                    100,                 0.2417,                0.16339,                0.77309,                0.99953,                      1,                  0.995,                0.98777,                0.22001,                0.13659,                0.77214,               0.000199,               0.000199,               0.000199
